ID,plan_start_date,plan_end_date,plan_id,Price,period,next_start,plan_duration,daily_price,days_in_plan
18,22/06/22,21/09/22,Basic,$699,quarterly,,91,7.681318681,91
53,23/06/22,23/06/23,Standard,$6999,yearly,,365,19.17534247,268
63,10/07/22,09/10/22,Basic,$799,quarterly,11/07/22,91,8.78021978,0
63,11/07/22,10/10/22,Standard,$2999,quarterly,,91,32.95604396,91
80,19/08/21,19/08/22,Standard,$4999,yearly,,365,13.69589041,365
94,10/02/22,12/05/22,Basic,$699,quarterly,01/07/22,91,7.681318681,91
94,01/07/22,30/09/22,Basic,$699,quarterly,03/10/22,91,7.681318681,91
94,03/10/22,03/10/23,Basic,$4499.25,yearly,,365,12.32671233,166
141,17/01/23,17/01/24,Premium,$29999,yearly,,365,82.1890411,60
170,21/07/22,20/10/22,Basic,$1299,quarterly,,91,14.27472527,91
226,12/07/22,11/10/22,Basic,$1299,quarterly,,91,14.27472527,91
347,14/08/22,13/11/22,Basic,$1299,quarterly,,91,14.27472527,91
391,11/02/22,11/02/23,Standard,$6999,yearly,,365,19.17534247,365
445,06/09/21,06/09/22,Standard,$6999,yearly,,365,19.17534247,365
446,01/05/21,01/05/22,Standard,$4999,yearly,,365,13.69589041,365
494,30/12/21,31/03/22,Standard,$2499,quarterly,07/05/22,91,27.46153846,91
494,07/05/22,06/08/22,Standard,$2499,quarterly,07/12/22,91,27.46153846,91
494,07/12/22,08/03/23,Standard,$3199,quarterly,,91,35.15384615,91
496,23/08/21,23/08/22,Standard,$4999,yearly,,365,13.69589041,365
525,20/07/22,19/10/22,Basic,$1299,quarterly,,91,14.27472527,91
590,08/06/21,08/06/22,Standard,$4999,yearly,,365,13.69589041,365
627,30/06/22,29/09/22,Basic,$699,quarterly,,91,7.681318681,91
800,10/09/21,10/09/22,Standard,$6999,yearly,23/10/22,365,19.17534247,365
800,23/10/22,22/01/23,Basic,$1574.25,quarterly,26/10/22,91,17.29945055,2
800,26/10/22,25/01/23,Standard,$3999,quarterly,,91,43.94505495,91
806,12/07/22,11/10/22,Basic,$1299,quarterly,,91,14.27472527,91
883,16/05/22,15/08/22,Basic,$699,quarterly,,91,7.681318681,91
888,04/04/22,04/04/23,Basic,$1999,yearly,23/05/22,365,5.476712329,48
888,23/05/22,23/05/23,Standard,$6999,yearly,,365,19.17534247,299
954,05/08/22,04/11/22,Basic,$1299,quarterly,,91,14.27472527,91
968,09/02/22,09/02/23,Standard,$6999,yearly,,365,19.17534247,365
990,26/05/22,25/08/22,Basic,$699,quarterly,,91,7.681318681,91
1077,23/10/22,22/01/23,Basic,$1574.25,quarterly,,91,17.29945055,91
